0,1,2
0.0,0.0,1
0.0,0.0,1
160337.0,2932113.0,1
1597025.0,3125788.0,1
160337.0,873125.0,1
1597025.0,1066800.0,1
160337.0,1063625.0,1
160337.0,1817688.0,1
160337.0,5032375.0,1
160337.0,2363788.0,1
160337.0,4022725.0,1
160337.0,3125788.0,1
160337.0,3589337.0,1
1811338.0,884237.0,13
1804988.0,823912.0,1
1887538.0,823912.0,1
2579688.0,823912.0,1
3271837.0,823912.0,1
3957637.0,823912.0,1
4641850.0,823912.0,1
5334000.0,823912.0,1
6026150.0,823912.0,1
6704013.0,823912.0,1
7388225.0,823912.0,1
6026150.0,1039812.0,9
7621588.0,1039812.0,9
1804988.0,1039812.0,9
7388225.0,1039812.0,9
6704013.0,1039812.0,9
5334000.0,1039812.0,9
4641850.0,1039812.0,9
3957637.0,1039812.0,9
3271837.0,1039812.0,9
1887538.0,1039812.0,9
2579688.0,1039812.0,9
1804988.0,6048375.0,9
1857375.0,1039812.0,9
1804988.0,1039812.0,9
3279775.0,5629275.0,1
3886200.0,2378075.0,1
2154238.0,2378075.0,1
1809750.0,2378075.0,1
3863975.0,1784350.0,1
1809750.0,2998788.0,1
5972175.0,2998788.0,1
2579688.0,3592512.0,1
5229225.0,4011612.0,1
5842000.0,4011612.0,1
5913437.0,4594225.0,1
6586538.0,4594225.0,1
1809750.0,5035550.0,1
1809750.0,1784350.0,1
2595563.0,1495425.0,1
1809750.0,1054100.0,1
1795463.0,6142037.0,1
7800975.0,855662.0,1
7800975.0,1906588.0,25
7800975.0,2378075.0,25
7800975.0,3000375.0,25
7800975.0,3632200.0,25
7800975.0,4057650.0,25
7800975.0,5233987.0,25
7800975.0,1541462.0,25
7800975.0,1176337.0,25
1960563.0,6119812.0,1
119062.0,147637.0,1
284163.0,893762.0,1
255588.0,2960688.0,1
1804988.0,685800.0,1
3297237.0,685800.0,1
6072187.0,685800.0,1
1804988.0,839787.0,9
3271837.0,839787.0,9
6097587.0,839787.0,9
1809750.0,1766888.0,9
1809750.0,3570287.0,9
1809750.0,5008562.0,9
171450.0,2905125.0,9
1809750.0,2355850.0,9
57150.0,1298575.0,1
57150.0,1922463.0,1
57150.0,2519363.0,1
57150.0,4405312.0,1
57150.0,5402262.0,1
5899150.0,4445000.0,1
5590566.0,1336549.0,5
5335587.0,1292225.0,5
1873250.0,3903662.0,9
57150.0,3232150.0,1
5203825.0,3848100.0,1
57150.0,3644900.0,1
269.0,1.0,1
2050867.0,1652141.0,1
174945.0,237215.0,1
3776662.0,2244725.0,1
2581275.0,1933575.0,1
2416175.0,3673475.0,1
2416175.0,2295525.0,1
4905375.0,5340350.0,1
5400675.0,1933575.0,1
5400675.0,2178050.0,1
3276600.0,5340350.0,1
3719512.0,1933575.0,1
4438650.0,2305050.0,9
4438650.0,2295525.0,9
121750.0,973527.0,17
174945.0,6439506.0,1
174943.0,27536.0,1
8452015.0,140866.0,13
121488.0,211245.0,1
121488.0,6667245.0,1
121488.0,1057631.0,1
121488.0,1057631.0,1
234461.0,1141983.0,17
1985584.0,6093181.0,1
3170371.0,1057631.0,1
3170371.0,1057631.0,1
3283344.0,1149677.0,17
5034467.0,6093181.0,1
6219252.0,1057631.0,1
6219252.0,1057631.0,1
6332227.0,1141983.0,17
8083349.0,6093181.0,1
234461.0,4220659.0,25
172326.0,4220659.0,1
205568.0,4253903.0,5
3283344.0,4220659.0,25
3221209.0,4220659.0,1
3254452.0,4253903.0,5
6332227.0,4220659.0,25
6270090.0,4220659.0,1
6303333.0,4253896.0,5
234461.0,1725970.0,25
234461.0,5323371.0,25
172326.0,5320629.0,1
205465.0,5417446.0,1
234461.0,4747409.0,25
172326.0,4747409.0,1
205568.0,4780653.0,5
3283344.0,4747409.0,25
3221209.0,4747409.0,1
3254452.0,4780653.0,5
3283344.0,1725970.0,25
6332227.0,1725970.0,25
3283344.0,5323371.0,25
3221209.0,5320629.0,1
3254349.0,5417446.0,1
6332227.0,4750153.0,25
6270090.0,4747409.0,1
6303231.0,4844227.0,1
8545513.0,6435725.0,1
119062.0,230188.0,1
4489450.0,554037.0,1
4491037.0,557212.0,1
4564062.0,622300.0,1
100011.0,554037.0,1
100011.0,557212.0,1
174625.0,622300.0,1
4489450.0,3368675.0,1
4491037.0,3371850.0,1
4564062.0,3436937.0,1
100011.0,3368675.0,1
100011.0,3371850.0,1
174625.0,3436937.0,1
174625.0,874712.0,25
4564062.0,874712.0,25
4564062.0,3651250.0,25
2819400.0,3647301.0,1
2819400.0,3962400.0,9
2819400.0,4019550.0,25
7599209.0,376238.0,1
7599209.0,190501.0,1
7411884.0,163512.0,1
7485702.0,163512.0,5
7415059.0,347663.0,1
7415059.0,347663.0,1
4022725.0,584200.0,1
4022725.0,584200.0,1
4022725.0,3398837.0,1
4022725.0,3398837.0,5
1117600.0,3651250.0,1
1117600.0,3962400.0,9
1117600.0,4019550.0,25
2514600.0,3771900.0,1
2589213.0,3771900.0,5
174625.0,3962400.0,9
174625.0,4019550.0,1
174625.0,3647301.0,1
812800.0,3771900.0,1
812800.0,3771900.0,1
8470900.0,584200.0,1
8575675.0,584200.0,5
8470900.0,3398837.0,1
8470900.0,3398837.0,5
8261350.0,163512.0,13
119062.0,6450012.0,1
174945.0,237215.0,1
174943.0,27536.0,1
669535.0,1287388.0,1
669535.0,1288700.0,1
742028.0,1683877.0,25
4617987.0,1287388.0,1
4617987.0,1288700.0,1
4703255.0,1683877.0,25
7175103.0,334158.0,1
7175103.0,334158.0,1
7175103.0,546525.0,1
8710727.0,240787.0,13
174945.0,237215.0,1
174945.0,6442595.0,1
1416396.0,1075046.0,1
1493316.0,2013654.0,9
1493316.0,2441520.0,9
1493316.0,3297253.0,9
1493316.0,3725119.0,9
1493316.0,4152986.0,9
1493316.0,4580852.0,9
1493316.0,1547391.0,9
1493316.0,5008719.0,9
1493316.0,5436584.0,9
1493316.0,5864450.0,9
1493316.0,2869387.0,9
3308131.0,5902643.0,1
2288056.0,1320528.0,1
2288056.0,2907577.0,1
2288056.0,5046910.0,1
2288056.0,5474775.0,1
2288056.0,2051844.0,1
2288056.0,3763310.0,1
2288056.0,4619042.0,1
2288056.0,3335444.0,1
2288056.0,4191177.0,1
2288056.0,2479712.0,1
2288056.0,1623978.0,1
6495806.0,1135970.0,1
6739579.0,5902643.0,1
6739579.0,2907577.0,1
6739579.0,5046910.0,1
6739579.0,5474775.0,1
6739579.0,2051844.0,1
6739579.0,3763310.0,1
6739579.0,4619042.0,1
6739579.0,3335444.0,1
6739579.0,4191177.0,1
6739579.0,2479712.0,1
6739579.0,1623978.0,1
5168234.0,1135970.0,1
5168234.0,5902643.0,17
5412006.0,2907577.0,1
5412006.0,5046910.0,1
5412006.0,5474775.0,1
5412006.0,2051844.0,1
5412006.0,3763310.0,1
5412006.0,4619042.0,1
5412006.0,3335444.0,1
5412006.0,4191177.0,1
5412006.0,2479712.0,1
5412006.0,1623978.0,1
1493316.0,5902643.0,17
1493316.0,2907577.0,13
1493316.0,5046910.0,13
1493316.0,5474775.0,13
1493316.0,2051844.0,13
1493316.0,3763310.0,13
1493316.0,4619042.0,13
1493316.0,3335444.0,13
1493316.0,4191177.0,13
1493316.0,2479712.0,13
1493316.0,1623978.0,13
174943.0,27536.0,1
9655840.0,1942296.0,5
8710727.0,240787.0,13
269.0,1.0,1
174945.0,237215.0,1
269.0,1.0,1
2094775.0,2294086.0,25
2095237.0,2692398.0,25
2095238.0,3098800.0,25
269.0,1.0,1
174945.0,787992.0,1
261584.0,1212669.0,17
5526473.0,402339.0,17
174945.0,237215.0,1
174945.0,803382.0,17
6086475.0,5127625.0,5
6143625.0,5127625.0,5
6086475.0,5127625.0,5
2543175.0,4794250.0,9
1743075.0,4841875.0,9
5511800.0,4702175.0,1
5511800.0,4140200.0,1
4814887.0,5387975.0,1
