,0,1,2
0,0.0,0.0,1.0
1,0.0,0.0,1.0
2,160337.0,2932113.0,1.0
3,1597025.0,3125788.0,1.0
4,160337.0,873125.0,1.0
5,1597025.0,1066800.0,1.0
6,160337.0,1063625.0,1.0
7,160337.0,1817688.0,1.0
8,160337.0,5032375.0,1.0
9,160337.0,2363788.0,1.0
10,160337.0,4022725.0,1.0
11,160337.0,3125788.0,1.0
12,160337.0,3589337.0,1.0
13,1811338.0,884237.0,13.0
14,1804988.0,823912.0,1.0
15,1887538.0,823912.0,1.0
16,2579688.0,823912.0,1.0
17,3271837.0,823912.0,1.0
18,3957637.0,823912.0,1.0
19,4641850.0,823912.0,1.0
20,5334000.0,823912.0,1.0
21,6026150.0,823912.0,1.0
22,6704013.0,823912.0,1.0
23,7388225.0,823912.0,1.0
24,6026150.0,1039812.0,9.0
25,7621588.0,1039812.0,9.0
26,1804988.0,1039812.0,9.0
27,7388225.0,1039812.0,9.0
28,6704013.0,1039812.0,9.0
29,5334000.0,1039812.0,9.0
30,4641850.0,1039812.0,9.0
31,3957637.0,1039812.0,9.0
32,3271837.0,1039812.0,9.0
33,1887538.0,1039812.0,9.0
34,2579688.0,1039812.0,9.0
35,1804988.0,6048375.0,9.0
36,1857375.0,1039812.0,9.0
37,1804988.0,1039812.0,9.0
38,3279775.0,5629275.0,1.0
39,3886200.0,2378075.0,1.0
40,2154238.0,2378075.0,1.0
41,1809750.0,2378075.0,1.0
42,3863975.0,1784350.0,1.0
43,1809750.0,2998788.0,1.0
44,5972175.0,2998788.0,1.0
45,2579688.0,3592512.0,1.0
46,5229225.0,4011612.0,1.0
47,5842000.0,4011612.0,1.0
48,5913437.0,4594225.0,1.0
49,6586538.0,4594225.0,1.0
50,1809750.0,5035550.0,1.0
51,1809750.0,1784350.0,1.0
52,2595563.0,1495425.0,1.0
53,1809750.0,1054100.0,1.0
54,1795463.0,6142037.0,1.0
55,7800975.0,855662.0,1.0
56,7800975.0,1906588.0,25.0
